receipt_number,receipt_type,refund_for,created_at,updated_at,cancelled_at,total_money,customer_id,employee_id
1-1076,SALE,,2023-03-09 14:16:01+00:00,2023-03-09T14:16:01.000Z,2023-01-01T00:00:00.000Z,76487.52,5f1fe9fd-f475-47a1-a774-0c136533ee8d,f94b1e44-933d-4c41-9907-9ab51a8afeaf
1-1075,SALE,,2023-03-09 13:22:15+00:00,2023-03-09T13:22:15.000Z,2023-01-01T00:00:00.000Z,47827.5,a4ac9e94-9af9-4c7c-b432-176a5deef456,f94b1e44-933d-4c41-9907-9ab51a8afeaf
1-1074,SALE,,2023-03-09 13:16:02+00:00,2023-03-09T13:16:02.000Z,2023-01-01T00:00:00.000Z,170472.75,7dc85e5d-6ab5-4d7d-b66d-9273484f780d,f94b1e44-933d-4c41-9907-9ab51a8afeaf
1-1073,SALE,,2023-03-09 12:46:51+00:00,2023-03-09T12:46:51.000Z,2023-01-01T00:00:00.000Z,148401.77,c77f80c1-61af-47a9-8e37-dc92377cc69f,f94b1e44-933d-4c41-9907-9ab51a8afeaf
